id,product_code,name,value,barcode,unity_of_measurement,last_received_date,last_issued_date,quantity
47,25004,OVER TIME REQUISITION FORM FOR STAFF: SIZE 1,47,25004,PAD,2017-08-31,2018-03-31,5
48,25005,ON DUTY ADVICE FORM : SIZE 17 X  21CM. 100 SHE,48,25005,PAD,2017-08-31,2018-07-03,5
49,25007,"PERSONAL EXIT PASS: SIZE 11 X 14 CM, 100 SHEET",49,25007,PAD,2017-05-17,2018-07-03,10
50,25008,"STATIONERY ISSUE VOUCHER: SIZE 14 X  21 CM, 1",50,25008,PAD,2017-05-17,2018-03-31,10
51,25009,"PURCHASE INDENT FORM: SIZE 22  X  28 CM, 100 S",51,25009,PAD,2017-05-17,2018-07-03,100
52,25010,"STORES ISSUE VOUCHER: SIZE 19 X 25 CM, 100 SE",52,25010,PAD,2017-08-31,2018-07-03,25
53,25011,"STORES  RECEIPT VOUCHER:  SIZE 28 X 22 CM, 100",53,25011,NOS,2017-05-17,2018-03-31,20
54,25013,RETURNABLE GATE PASS:,54,25013,PAD,2017-08-31,2018-07-03,30
55,25014,"ATTENDANCE REGISTER,",55,25014,NOS,2017-05-17,2018-03-31,10
56,25016,"DUPLICATE BOOK: SIZE 28 X 22 CMS, 100 SETS IN A",56,25016,PAD,2017-08-31,2018-07-03,5
57,25018,LETTER HEAD:SIZE 29 X 21CM.IT SHOULD BE,57,25018,PAD,2017-08-31,2018-03-31,10
58,25020,"SCRIBBLING PAD BIG SIZE:SIZE 28 X 22 CM, 100 SH",58,25020,PAD,2017-08-31,2018-07-03,15
59,25021,"SCRIBBLING PAD MEDIUM SIZE: SIZE 21 X 15 CM,10",59,25021,PAD,2017-08-31,2018-07-03,10
60,25022,"SCRIBBLING PAD SMALL SIZE: SIZE 15 X 10 CM, 100 S",60,25022,PAD,2017-05-17,2018-07-03,15
61,25029,"YELLOW FOLDER: SIZE 35 X 22 CMS, I.R.E. ADDRES",61,25029,NOS,2017-05-17,2018-07-03,500
62,25151,INTIMATION FOR SHIFT CHANGE FORM: SIZE 18  X 2,62,25151,PAD,2017-08-31,2018-07-03,10
63,26001,DAILY JOB ALLOCATION (MECHANICAL)REGISTER: S,63,26001,NOS,2018-07-17,2003-02-22,5
64,26011,TOOLS ISSUE REGISTER SIZE 33 X 21 CM. 200 SHE,64,26011,NOS,2018-07-17,2008-04-10,2
65,26012,MECHANICAL MAINTENANCE WORKS REGISTER S,65,26012,NOS,2018-07-17,2008-04-10,2
66,31022,SAFETY INTIMATION CARD TO BE PRINTED IN QUAD,66,31022,NOS,2018-07-17,,5
67,50012,"COPIER PAPER OF A4 SIZE, 80 GSM( 500 SHEETS IN",67,50012,PKT,2018-07-09,2018-07-03,532
68,50152,LEGAL PAPER OF 215 X 345 MM SIZE.80 GSM( 500,68,50152,PKT,2018-07-09,2018-05-10,12
69,51015,OFFICE FILE- LIGHT BLUE,69,51015,NOS,2018-07-17,2018-07-19,200
70,51016,OFFICE FILE- YELLOW,70,51016,NOS,2018-07-17,2018-07-19,100
71,101001,RAPID MAGNETIC SEPARATORS COMPLETE.,71,101001,NOS,1996-01-02,,4
72,208012,HIGH TENSION  ELECTRIC CABLES S.C 4 Sq .mm (7,72,208012,MTR,1993-06-26,2017-10-06,1725
73,208032,HIGH TENSION ROLL SEPARATOR ES 2754 AND ES 2,73,208032,NOS,2001-09-25,2004-05-19,2
74,208033,SUPPORT BRACKET AC WIPER ASSEMEMBLY,74,208033,NOS,2003-12-27,2013-08-16,6
75,211007,POTENTIO METER  E 8801,75,211007,NOS,1992-07-21,2013-03-13,7
76,217003,HT SWITCH ASSEMBLY CONSISTING OF AC SWITCH,76,217003,NOS,1998-01-01,2000-09-19,2
77,217006,INSULATOR NPA 5030 P.NO 801303,77,217006,NOS,1998-01-01,2013-08-16,96
78,217007,GASKET INSULATOR NPA 5030 P.NO 801400,78,217007,NOS,1998-01-01,2013-08-16,48
79,217012,PORECELAIN INSULATORS LOWER P.NO 801329,79,217012,NOS,1998-01-01,2015-09-03,20
80,217110,ROTARY BRUSH RH 0470,80,217110,NOS,2003-12-27,2010-06-21,1
81,217117,SEPARATION ROLLER RH 0613,81,217117,NOS,2003-12-27,2011-01-20,1
82,220006,FEED DEFLECTION PLATES 307870,82,220006,NOS,1998-08-18,,10
83,302008,PVC INSULATED SOLID COPPER CONDUCTOR CABL,83,302008,MTR,1999-09-07,2004-06-25,829
84,303003,STEEL WEARING PLATE INSERT S701,84,303003,NOS,1998-05-29,2013-08-16,4
85,303017,PTIMAN ROLLER BEARING 6AN30,85,303017,NOS,1998-05-29,2013-08-16,2
86,303018,MAIN SHAFT BALL BEARING 6AN31,86,303018,NOS,1998-05-29,2013-08-16,4
87,303019,BUSHING FOR AN 17 62001,87,303019,NOS,1998-05-29,2013-08-16,4
88,304201,HDPE PIPE END 40 MM,88,304201,NOS,1998-08-04,2012-04-26,21
89,304203,HDPE SLIP ON FLANGES 40 MM,89,304203,NOS,1998-08-04,1999-03-13,26
90,509063,SUPPLY OF INDOOR PANEL COMPRISING OF 1 NO.,90,509063,SET,2018-07-09,,1
91,513102,DECON DECORATIVE SWEDISH WALL BRACKET 200,91,513102,NOS,1996-07-05,2008-01-31,13
92,514012,"KIRLOSKER MAKE 3.7KC4 MOTOR, 3.7 KW /5HP 1500",92,514012,NOS,1997-08-06,1998-03-13,1
93,514102,SHAFT AISI 410 FOR KIRLOSKAR MF20/25 PUMP (C,93,514102,NOS,1997-04-01,2013-08-16,1
94,514103,SHAFT SLEEVE AISI410 FOR KIRLOSKAR MF20/25P,94,514103,NOS,1997-04-01,2013-08-16,1
95,514104,GLAND C.I FOR KIRLOSKAR MF 20/25 PUMP (C-1),95,514104,NOS,1997-04-01,2013-08-16,1
96,514105,LIQUID DEFLECTOR RUBBER FOR KIRLOSKAR MF20,96,514105,NOS,1997-04-01,2013-08-16,1
97,514108,IMPELLER NUT BRONZE FOR KIRLOSKAR MF20/25 P,97,514108,NOS,1997-04-01,2013-08-16,1
98,514110,OIL SEAL DE RUBBER FOR KIRLOSKAR MF20/25 PUM,98,514110,NOS,1997-04-01,2013-09-06,1
99,514111,OIL SEAL DE RUBBER FOR KIRLOSKAR MF20/25 PUM,99,514111,NOS,1997-04-01,2013-09-06,1
100,514112,O RING FOR SHAFT SLEEVE FOR KIRLOSKAR MF20/,100,514112,NOS,1997-04-01,2013-09-06,1
101,514113,O RING FOR DELIVERY CASING & SUCTION COVER K,101,514113,NOS,1997-04-01,2013-09-06,1
102,514115,BALL BEARING/DE/NDE(NBC-540)FOR KIRLOSKAR M,102,514115,NOS,1997-04-01,2013-09-06,2
103,550111,STAINLESS STEEL BAFFLE FOR MUFFLE FURNCE,103,550111,NOS,1998-06-16,1994-09-01,1
104,550388,SPLIT VACCUM RECIVERS.,104,550388,NOS,1998-10-07,2013-09-06,3
105,550804,ASBESTOS MAGNESIUM POWDER,105,550804,KGS,2001-07-05,2006-06-15,215
106,551054,'KAPCO' BRAND 2 CORE 24/0.2 MM  INSULATED TWI,106,551054,MTR,2007-07-27,2017-10-30,79
107,551101,"IE GLASS TUBE ROTAMETER MODEL:1114C, WITH A",107,551101,NOS,2010-01-29,,1
108,551218,SUPPLY AND INSTALLATION OF  LAPTOP (2 IN,108,551218,NOS,2018-07-30,,1
109,707076,TAB. AMNURITE 10 MG IN A STRIP OF 10,109,707076,STRI,2018-07-27,2017-10-16,200
110,707086,TAB. CLUSFER IN A STRIP OF10,110,707086,STRI,2018-07-31,2017-10-27,100
111,707087,TAB. NERVILAX IN A STRIP OF 10,111,707087,STRI,2018-07-31,2017-10-14,200
112,707318,TAB.PANSY 40 MG IN A STRIP OF 10,112,707318,STRI,2018-07-31,,200
113,707321,LIQ.SINAREST 60 ML ( PEADIATRIC SYRUP),113,707321,BOT,2018-07-27,,60
114,707322,TAB.SINAREST IN A STRIP OF10,114,707322,STRI,2018-07-27,,100
115,804001,OIL BURNER BLOCK FOR WESMAN SIZE-3A,115,804001,NOS,,1990-03-31,1
116,903014,FUSES NO 86 AMP EE,116,903014,NOS,2013-09-06,2010-03-12,30
117,903036,DOUBLE WOUND AIR COOLED TRANSFOREMER 18,117,903036,NOS,1996-04-10,2009-12-02,5
118,903037,"TRANSFORMER PRIMARY 230V,SECONDARY 130 V, 2",118,903037,NOS,1993-02-24,1998-08-10,4
119,904004,TSNA-516 A SEAL,119,904004,NOS,2018-04-19,2017-02-28,8
120,904005,TSNA-516 B COLLAR.,120,904005,NOS,2018-04-19,2017-02-28,8
121,913017,2 ND  REDUCTION PINION SUITABLE FOR BONFIGLIO,121,913017,NOS,2017-06-30,2017-05-15,5
122,913018,EXTENDED 1st  REDUCTION  PINION SUITABLE FOR,122,913018,NOS,2017-06-30,2017-05-15,5
123,913026,CIRCLIP SUITABLE FOR BONOFIGLIOLI GEAR BOX O,123,913026,NOS,2017-06-30,2017-05-15,5
124,913028,KEY SUITABLE FOR BONOFIGLIOLI GEAR BOX OF S,124,913028,NOS,2017-06-30,2017-05-15,5
125,916005,ERIEZ MAKE ELECTRONIC CONTROLLER FOR DRIV,125,916005,NOS,2016-11-09,,1
126,916006,VARIABLE SPEED DRIVE FOR THE 2.2 KW/3 HP DRU,126,916006,NOS,2016-11-09,,1
127,916009,POWER SUPPLY UNIT,127,916009,NOS,2016-11-09,,1
128,1001033,"WESMAN GEAR PUMP 3/4"" WITHOUT MOTOR, BASE O",128,1001033,NOS,2011-09-29,2012-12-18,1
129,1001053,PRESSURE SWITCHES.,129,1001053,NOS,2017-04-07,2012-03-20,2
130,1001056,AUTOMATIC TEMPERATURE INDICATING,130,1001056,NOS,2017-02-08,,4
131,1001057,AUTOMATIC TEMPERATURE INDICATING,131,1001057,NOS,2017-02-08,2018-06-05,2
132,1002010,'ACE' CALDERYS  MAKE WHYTHEAT 'A',132,1002010,KGS,2017-08-14,2017-12-15,550
133,1002013,"HOT FACE INSLN. BRICKS 9X4.5X3 """,133,1002013,NOS,1993-02-04,2008-12-19,200
134,1002029,PINION WITH SHAFT,134,1002029,NOS,2002-11-08,2013-09-06,1
135,1002031,"FIRE BRICKS 9"" X 4.5"" X 3"" X 2"" X 0.5""",135,1002031,NOS,1999-09-01,2013-06-06,525
136,1002034,ACC INSULT II,136,1002034,KGS,1996-09-27,2016-05-03,1150
137,1002068,'ACE' MAKE MORTOR 80 IN 50 KG BAG.,137,1002068,KGS,2010-01-25,2016-11-16,400
138,1002069,'ACE' MAKE FIRE BRICK 70 (70% ALUMINA BRICK) SI,138,1002069,NOS,2010-01-25,2017-07-04,185
139,1002071,CFI SIDE ARCH BRICKS INS 140  230X115X75/65MM,139,1002071,NOS,2006-04-05,2017-08-11,1260
140,1002073,DILUTION BLOWER,140,1002073,NOS,2001-04-02,2013-09-06,1
141,1003013,NEC MAKE IGNITION TRANSFORMER SINGLE,141,1003013,NOS,2008-09-24,2014-06-24,2
142,1003032,SEIEMENS A/C OPERATED SPOLE CONTACTOR 3T,142,1003032,NOS,1995-05-11,2013-09-06,3
143,1003034,S.S. BRAIDED CERMAIC FIBRE ROPE 6 mm,143,1003034,MTR,1995-09-15,2013-09-06,35
144,1003035,S.S. BRAIDEDCERMAIC FIBRE ROPE 12 mm,144,1003035,MTR,1995-09-15,2013-09-06,25
145,1003037,WESMAN NORTH AMERICAN DUEL FUEL BURNER M,145,1003037,NOS,1995-10-27,1996-11-22,1
146,1003043,HEATER - 1 KW TUBALAR TYPE,146,1003043,NOS,1995-08-08,2013-09-06,1
147,1003048,DIAL DIAPHARAM  100 MM GAUGE,147,1003048,NOS,1997-05-21,1997-06-21,1
148,1003054,"WESMAN NORTH AMERICAN BURNER, BURNER MO",148,1003054,NOS,1997-04-28,1996-11-28,2
149,1003060,OIL NOZZLE FOR NA BURNER SERIES 6526-54-3,149,1003060,NOS,1997-08-27,2013-09-06,1
150,1003064,OIL CONNECTION ASSEMBLY WESAMN NORTH AMER,150,1003064,NOS,1997-04-28,2013-09-06,2
151,1005007,WEGMANN CONE 205X320 MM. P.NO:P22WC10030.,151,1005007,NOS,2017-06-30,2017-06-24,1
152,1005008,LANDIS AND GYR MAKE ULTRA VIOLET DETECTOR,152,1005008,NOS,2016-06-24,2016-04-05,3
153,1005009,"SEQUENCE CONTROLLER LANDIS AND GYR MAKE ,",153,1005009,NOS,2008-04-18,2006-07-19,1
154,1005017,"HEATER  3"" BSP. 590MM LONG ELECTRIC HEATER, P",154,1005017,NOS,2017-09-26,2017-01-11,4
155,1005019,"FUEL PUMP HP MODEL - NVBGR, P.NO: P01FD10020",155,1005019,NOS,2016-02-05,2015-06-09,1
156,1005022,MECHANICAL SEAL FOR SAFAG PUMP 8210020800,156,1005022,NOS,2000-08-16,2009-03-25,1
157,1005029,FLASHER MODULE 12 AF 36 R,157,1005029,NOS,1995-10-14,2008-04-21,1
158,1005030,RELAY,158,1005030,NOS,1995-10-14,2013-09-20,2
159,1005034,ELECTRONIC HOOTER ( ALU-1) 230 VAC,159,1005034,NOS,1995-10-14,,1
160,1005044,BHC MAGNITE COILFOR PN TYPE TIMER VOLTAGE 2,160,1005044,NOS,1995-02-08,2013-09-20,2
161,1005049,RELAY ENCLOSED TYPE 2 R RELAY WITH 24 VDC C,161,1005049,NOS,1995-05-31,2010-08-16,9
162,1005051,SPARES PCB CARD MOTOR BOARD COMPLETE,162,1005051,NOS,2000-11-22,2009-11-14,1
163,1005054,"L&T MAKE COIL SUITABLE FOR ML '0' CONTACTOR ,",163,1005054,NOS,2014-02-26,2012-08-27,5
164,1005055,A.C COIL FOR ML 2 CAT NO SS 90545,164,1005055,NOS,1995-09-20,1999-02-27,1
165,1005056,A.C COIL FOR ML 4 CAT NO SS 91258,165,1005056,NOS,1995-09-20,2013-09-20,2
166,1005060,POWER ADUDGESTED RELAYS TYPE 67,166,1005060,NOS,1995-05-09,2008-04-21,1
167,1005063,PEDAL TYPE LEVEL SWITCH MODEL 135-12 FI SICE,167,1005063,NOS,2004-07-12,2004-02-21,1
168,1005064,YOKOGAWA INDICATING CONTROLLER VT 35 - A13,168,1005064,NOS,1996-03-16,2013-09-20,1
169,1005065,RIBBON CASSETE FOR YOKOGAWA MAKE HYBRID R,169,1005065,NOS,2003-08-05,2002-02-27,1
170,1005066,COLD EATHODE FLUORESENT LAMP 4082 P.139638,170,1005066,NOS,1996-03-16,2013-09-20,1
171,1005067,YOKOGAWA POWER DISTRIBUTOR MODEL NO SDB,171,1005067,NOS,1996-03-16,2013-10-26,1
172,1005068,MODULATING MOTOR M 941 A CODE I-86141122 00,172,1005068,NOS,1995-07-14,2013-10-26,1
173,1005073,PREESURE SWITCH IPS 100 CODE 0-8441121300,173,1005073,NOS,1995-07-14,2006-09-14,1
174,1005077,O RING 33078,174,1005077,SET,1995-06-26,2013-10-26,1
175,1005078,SPRING SET FOR PNEMETIC ACTUATOR,175,1005078,SET,1995-06-26,2013-10-26,1
176,1005081,ELECTRODE ASSEMBLY W 0314 613930,176,1005081,NOS,2002-11-18,2018-07-13,4
177,1005082,I PIN SOCKETS SUITABLE FOR THE P.NO 31-96000 -2,177,1005082,NOS,1995-05-31,2001-06-12,5
178,1005088,PRESSURE CONTROL VALVE (DOWN STREAM VAL,178,1005088,NOS,2015-10-09,2015-11-06,1
179,1005094,S.S WIRE BRAIDED METALIC FLEXIBLE HOSE FOR H,179,1005094,NOS,2003-02-05,2013-02-02,13
180,1005102,BIMETAL OVER LOAD RELAY L&T RANGE  1.4 A TO 2,180,1005102,NOS,1995-11-18,2010-08-17,2
181,1005103,BIMETAL OVERLOAD RELAY L-T RANGE 2A -3-3 AMP,181,1005103,NOS,1995-11-18,1996-11-16,1
182,1005104,BIMETAL OVER LOAD RELAY L & t RANGE 66 A TO 1,182,1005104,NOS,1995-11-18,2013-10-26,2
183,1005105,ISO TYPE BIPI TECH SIMPLEX SPROCKET WHEEL 1,183,1005105,NOS,1996-01-13,1996-03-14,4
184,1005109,DIGITAL TEMPERATURE INDICATOR WITH ON/OFF C,184,1005109,NOS,1996-04-06,2001-05-04,2
185,1005114,"ELECTRIC 2 WIRE TR.MITTER,FISHER ROSE MOUN",185,1005114,NOS,1996-09-12,2004-05-26,1
186,1005134,SIEMMENS  MAKE LAMP HOLDER WITH BULIT  IN RE,186,1005134,NOS,1996-06-14,1997-06-23,5
187,1005141,"NON RETURN VALVE ASSY 1 1/2 "" BSP - TC 600 031",187,1005141,NOS,2000-04-19,1999-02-27,3
188,1005142,"SAFTEY VALVE ASSEMBLY 0.75"" BSP 043456A/972",188,1005142,NOS,2000-04-19,2000-09-13,1
189,1005143,"SAFETY VALVE ASSY. 1/2"" BSP 043457 A",189,1005143,NOS,2000-04-19,2007-04-07,4
190,1005145,"DRAIN VALVE ASSEMBLY 0.25"" BSP 0515411",190,1005145,NOS,1996-11-16,2013-10-26,1
191,1005146,AIR FILTER ASSEMBLY 0213970,191,1005146,NOS,2000-04-19,2013-10-26,2
192,1005147,"SAFETY VALVE ASSEMBLY 0.25"" BSP 0413181",192,1005147,NOS,1996-11-16,2013-10-26,1
193,1005156,DIFFERENTIAL PRESSURE SWITCH MODEL GM-306,193,1005156,NOS,2001-02-23,1998-04-08,1
194,1005159,"L & T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN",194,1005159,NOS,2017-09-26,2016-11-07,3
195,1005161,L&T MN-2 BIMETAL O/L 14 -23A SS94134,195,1005161,NOS,1997-01-17,2013-10-26,1
196,1005164,L&T MN12L TYPE BIMETAL OVERLOAD RELAYUNIT R,196,1005164,NOS,1997-05-30,2013-10-26,1
197,1005173,BURNER ROD ASSEMBLY(P.NO: PBR6200003),197,1005173,NOS,2017-09-27,2018-04-19,1
198,1005182,AVCON MAKE PNEUMATIC ROTARY ACTUATORS.,198,1005182,NOS,2009-06-08,2005-02-25,1
199,1005183,SOLENOID VALVES TAC NO SV 101,199,1005183,NOS,2008-06-04,2007-09-27,2
200,1005184,SOLENIOD VALVES TAC NO 702,200,1005184,NOS,2008-06-04,2013-08-19,1
201,1005185,SOLENIOD VALVES TAC NO SV 104,201,1005185,NOS,2008-06-04,2016-12-02,1
202,1005189,"NPT 1/4""  (M) TO 1/2"" NPT ( M ) SS",202,1005189,NOS,2002-06-25,2014-10-28,27
203,1005190,"PVC TUBE  1/4"" OD",203,1005190,NOS,2002-07-19,2017-02-03,30
204,1005193,"NPT 1/4"" (M) UNION (M) WITH NUT",204,1005193,NOS,2002-07-19,2017-07-27,15
205,1005195,"SIEMENS MAKE BA9SFILAMENT LAMP,24V/2W",205,1005195,NOS,2012-08-25,2017-07-17,50
206,1005196,"SIEMENS MAKE BA9S FILAMENT LAMP, 130V/2.5 W, T",206,1005196,NOS,2012-08-25,2016-04-11,90
207,1005198,PRESSURE SWITCH MODEL NO GM -021- 02B 5D -0,207,1005198,NOS,1998-07-17,2014-02-05,1
208,1005199,PRESSURE SWITCH MODEL NO GM - 201 -01 A7K-0,208,1005199,NOS,1998-07-17,2014-02-05,2
209,1005200,PRESSURE SWITCH MODEL NO GM -201-02-A7K-0,209,1005200,NOS,1998-07-17,2014-02-05,1
210,1005222,O/E/N/ RELAY P.NO IR -3-240,210,1005222,NOS,1999-01-21,2015-05-22,13
211,1005223,II PIN DIN RAIL MOUNTING BASE,211,1005223,NOS,1999-01-21,2018-04-23,7
212,1005232,AIRMATIC MAKE STANDARD SERIES AIRPRESSURE,212,1005232,NOS,2015-04-11,2016-11-16,3
213,1005233,AIRMATIC MAKE AIR PRESSURE REGULATOR SIZE 1,213,1005233,NOS,2003-06-13,2013-12-20,3
214,1005234,AIRMATIC AIR PRESSURE REGULATOR WITH FILTE,214,1005234,NOS,2000-02-26,2016-06-18,1
215,1005240,PRESSURE GUAGE,215,1005240,NOS,2000-02-26,2015-08-24,2
216,1005241,"SAFETY VALVE ASSEMBLY 3/8"" BSP DRG.NO 02240",216,1005241,NOS,2000-04-19,2014-02-05,4
217,1005242,ELGI/CEC MAKE TOP BLOCK FOR AIR COMPRESSOR,217,1005242,NOS,2016-07-09,2016-03-30,1
218,1005250,VGPISLY 10 SPRING PLATE FOR VIBRATING FEEDE,218,1005250,SET,2000-11-22,2014-02-05,1
219,1005253,"SAFETY VALVE ASSY. 3/4"" DRG NO: 022400779",219,1005253,NOS,2000-09-13,2014-02-05,3
220,1005258,BURNER HOUSING NO M 806/00,220,1005258,NOS,2003-03-21,2008-04-08,4
221,1005263,FILTER BASKET 25NB 15 LIT CAPACITY,221,1005263,NOS,2001-07-21,2014-02-05,1
222,1005265,TEMPERATURE ELEMENT PROBE TYPE - K,222,1005265,NOS,2016-11-29,2016-06-21,2
223,1005266,TEMPERATURE ELEMENT PROBE TYPE- K TYPE,223,1005266,NOS,2016-11-29,2016-06-24,5
224,1005270,"VALVE SAFETY 3/4"" BSP P NO. 972210200",224,1005270,NOS,2002-01-17,2014-02-05,1
225,1005276,TEMPERATURE ELEMENT PROBE,225,1005276,NOS,2016-11-29,2018-06-09,2
226,1005280,"NPT 1/4"" (M) ELBOW WITH NUT",226,1005280,NOS,2002-11-19,2014-02-05,10
227,1005288,"COPPER TUBE 1/4"" DO SOFTENED DOUBLE WOUND",227,1005288,MTR,2002-07-19,2018-03-12,25
228,1005296,22.5 MM ILLUMINATED PUSH BUTTON IN GREEN,228,1005296,NOS,2014-11-28,2017-01-17,40
229,1005297,22.5 MM ILLUMINATED PUSH BUTTON IN RED,229,1005297,NOS,2014-11-28,2016-05-09,30
230,1005370,"TEMPERATURE ELEMENT PROBE TYPE: RTD, PT-1",230,1005370,NOS,2007-01-25,2017-04-21,5
231,1005377,PCB MOTHER BOARD COMPLETE WITH FIRING,231,1005377,NOS,2014-11-07,2012-11-26,1
232,1005385,YOKOGAWA MAKE CONTROLLER,232,1005385,NOS,2017-01-13,2014-05-22,2
233,1005391,"L&T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN",233,1005391,NOS,2014-09-30,2014-06-06,2
234,1005392,"L&T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN",234,1005392,NOS,2014-09-30,2014-06-06,1
235,1005395,"AIROSPRAY 7/8"" NOZZLE 10 GPH , SPRAY ANGL;E: 7",235,1005395,NOS,2018-04-17,,1
236,1006002,KAKATI/PPI/PREMIER MAKE WATER RING TYPE,236,1006002,NOS,2018-01-08,2017-02-09,1
