"SlNo","ItemCode","Item Name","UOM","Stock","LRD","LID","Value","BalValue","W/of Date","C/R/I/ST","Location",""
"1073","4306027","BRASS ROD 65.0 MM. DIA. X 600 MM. LONG.","NOS","2","12-Mar-2016","1-Sep-2015","12494.00","","","","",""
"1074","4306028","BRASS ROD 80.0 MM DIA X 600 MM LONG.","NOS","1","24-Feb-2016","3-Sep-2015","9892.00","","","","",""
"1075","4312012","S.S. WIRE MESH OF 3.00 MM APERATURE AND 2.00","NOS","6","2-Feb-2018","3-Jul-2018","123480.00","","","","",""
"1076","4312024","S.S 304 WIRE MESH PLAIN WEAVE WITH SQUARE AP","SQM","60","30-May-2018","22-Jul-2015","","","","","",""
"1077","4312025","S.S 304 WIRE MESH PLAIN WEAVE WITH SQUARE AP","SQM","91","30-May-2018","7-Nov-2017","","","","","",""
"1078","4312044","S.S 304 WIRE MESH PLAIN WEAVE WITH SQUARE AP","SQM","46","30-May-2018","14-May-2011","","","","","",""
"1079","4312059","S.S. 304 WIRE MESH PLAIN WEAVE WITH SQUARE A","SQM","46","30-May-2018","4-Feb-2016","","","","","",""
"1080","4325014","POLYTHENE CARBOYS 50 LIT CAPACITY","NOS","12","24-Mar-1997","22-Oct-1998","205.20","","","","",""
"1081","4325032","HORIZONTAL FOOT MOUNTED, ONE PIECE MOUNTE","NOS","2","9-May-2015","27-Jun-2013","13572.00","","","","",""
"1082","4325033","HORIZONTAL FOOT MOUNTED ONE PIECE / SEMI M","NOS","3","12-Aug-2016","15-Feb-2017","16610.25","","","","",""
"1083","4325034","-DO- 30 HP, FRAME SIZE-180 L GUARD TYPE= 180 R.","NOS","1","9-May-2015","27-Jul-2015","4128.50","","","","",""
"1084","4325035","HORIZONTAL FOOT MOUNTED ONE PIECE / SEMI M","NOS","1","12-Aug-2016","8-Jun-2017","6604.50","","","","",""
"1085","4325042","-DO-2HP, FRAME SIZE 90L GUARD TYPE-90 R.","NOS","2","9-May-2015","29-Jul-2009","4459.00","","","","",""
"1086","4351011","BAG STICHING NEEDLE NO12","NOS","116","18-Nov-1995","18-Mar-2004","181.36","","","","",""
"1087","4351012","JAWA SERRACO SPADLE WITH HANDLE","NOS","2","7-May-2005","6-May-2017","254.70","","","","",""
"1088","4351016","SHOWELS","NOS","27","19-Jul-1996","4-Jul-2013","156.67","","","","",""
"1089","4351054","A.C MILL BOARD","NOS","9","31-Mar-2003","4-Jul-2017","222.82","","","","",""
"1090","4351069","AUDCO WRANCH 4H FOR VALVE","PKT","2","2-Apr-1994","31-Jan-1995","21.10","","","","",""
"1091","4351133","COLOUR BANIAN YARN WASTE","KGS","850","14-Jun-2018","18-Jun-2018","","","","","",""
"1092","4501003","315/3 NN, ALL NYLON RUBBER CONVEYOR BELTING","MTR","100","2-Mar-2018","30-Oct-2017","135000.00","","","","",""
"1093","4501004","315/3 NN, ALL NYLON RUBBER CONVEYOR BELTING","MTR","100","2-Mar-2018","23-Dec-2016","82500.00","","","","",""
"1094","4501005","315/3, NN, ALL NYLON RUBBER CONVEYOR BELTIN","MTR","200","2-Mar-2018","18-Nov-2016","180000.00","","","","",""
"1095","4508005","315/3, NN, ALL NYLON RUBBER CONVEYOR BELTIN","MTR","200","2-Mar-2018","5-Feb-2018","300000.00","","","","",""
"1096","4510028","V -  BELT A-28","NOS","13","12-Sep-2015","17-Mar-2015","607.37","","","","",""
"1097","4510030","V -  BELT A-30","NOS","8","2-Jan-2018","6-Mar-2017","459.00","","","","",""
"1098","4510036","V  - BELT A-36","NOS","1","2-Jan-2018","23-Apr-2018","843.23","","","","",""
"1099","4510038","V-BELT A-38","NOS","18","29-Jan-2018","12-Jun-2018","2130.00","","","","",""
"1100","4510039","V-BELT A-39","NOS","16","29-Jan-2018","16-Dec-2017","1136.00","","","","",""
"1101","4510040","V-BELT A-40","NOS","22","7-May-2014","10-Oct-2011","1118.00","","","","",""
"1102","4510043","V - BELT A- 43","NOS","4","7-Jan-2017","20-Dec-2016","312.00","","","","",""
"1103","4510044","V-BELT A-44","NOS","58","12-Sep-2015","7-Nov-2017","3781.80","","","","",""
