id;product_id;product_name;product_count;product_price;product_barcode;product_location_barcode;product_expiry_date
46;25003;OVER TIME REQUISITION FORM: SIZE 15  X 21 CM, 1;55;46;12390;11156;17-May-2017
47;25004;OVER TIME REQUISITION FORM FOR STAFF: SIZE 1;5;47;12391;11157;31-Aug-2017
48;25005;ON DUTY ADVICE FORM : SIZE 17 X  21CM. 100 SHE;5;48;12392;11158;31-Aug-2017
49;25007;PERSONAL EXIT PASS: SIZE 11 X 14 CM, 100 SHEET;10;49;12393;11159;17-May-2017
50;25008;STATIONERY ISSUE VOUCHER: SIZE 14 X  21 CM, 1;10;50;12394;11160;17-May-2017
51;25009;PURCHASE INDENT FORM: SIZE 22  X  28 CM, 100 S;100;51;12395;11161;17-May-2017
52;25010;STORES ISSUE VOUCHER: SIZE 19 X 25 CM, 100 SE;25;52;12396;11162;31-Aug-2017
53;25011;STORES  RECEIPT VOUCHER:  SIZE 28 X 22 CM, 100;20;53;12397;11163;17-May-2017
54;25013;RETURNABLE GATE PASS:;30;54;12398;11164;31-Aug-2017
55;25014;ATTENDANCE REGISTER,;10;55;12399;11165;17-May-2017
56;25016;DUPLICATE BOOK: SIZE 28 X 22 CMS, 100 SETS IN A;5;56;12400;11166;31-Aug-2017
57;25018;LETTER HEAD:SIZE 29 X 21CM.IT SHOULD BE;10;57;12401;11167;31-Aug-2017
58;25020;SCRIBBLING PAD BIG SIZE:SIZE 28 X 22 CM, 100 SH;15;58;12402;11168;31-Aug-2017
59;25021;SCRIBBLING PAD MEDIUM SIZE: SIZE 21 X 15 CM,10;10;59;12403;11169;31-Aug-2017
60;25022;SCRIBBLING PAD SMALL SIZE: SIZE 15 X 10 CM, 100 S;15;60;12404;11170;17-May-2017
61;25029;YELLOW FOLDER: SIZE 35 X 22 CMS, I.R.E. ADDRES;500;61;12405;11171;17-May-2017
62;25151;INTIMATION FOR SHIFT CHANGE FORM: SIZE 18  X 2;10;62;12406;11172;31-Aug-2017
63;26001;DAILY JOB ALLOCATION (MECHANICAL)REGISTER: S;5;63;12407;11173;17-Jul-2018
64;26011;TOOLS ISSUE REGISTER SIZE 33 X 21 CM. 200 SHE;2;64;12408;11174;17-Jul-2018
65;26012;MECHANICAL MAINTENANCE WORKS REGISTER S;2;65;12409;11175;17-Jul-2018
66;31022;SAFETY INTIMATION CARD TO BE PRINTED IN QUAD;5;66;12410;11176;17-Jul-2018
67;50012;COPIER PAPER OF A4 SIZE, 80 GSM( 500 SHEETS IN;532;67;12411;11177;9-Jul-2018
68;50152;LEGAL PAPER OF 215 X 345 MM SIZE.80 GSM( 500;12;68;12412;11178;9-Jul-2018
69;51015;OFFICE FILE- LIGHT BLUE;200;69;12413;11179;17-Jul-2018
70;51016;OFFICE FILE- YELLOW;100;70;12414;11180;17-Jul-2018
71;101001;RAPID MAGNETIC SEPARATORS COMPLETE.;4;71;12415;11181;2-Jan-1996
72;208012;HIGH TENSION  ELECTRIC CABLES S.C 4 Sq .mm (7;1725;72;12416;11182;26-Jun-1993
73;208032;HIGH TENSION ROLL SEPARATOR ES 2754 AND ES 2;2;73;12417;11183;25-Sep-2001
74;208033;SUPPORT BRACKET AC WIPER ASSEMEMBLY;6;74;12418;11184;27-Dec-2003
75;211007;POTENTIO METER  E 8801;7;75;12419;11185;21-Jul-1992
76;217003;HT SWITCH ASSEMBLY CONSISTING OF AC SWITCH;2;76;12420;11186;1-Jan-1998
77;217006;INSULATOR NPA 5030 P.NO 801303;96;77;12421;11187;1-Jan-1998
78;217007;GASKET INSULATOR NPA 5030 P.NO 801400;48;78;12422;11188;1-Jan-1998
79;217012;PORECELAIN INSULATORS LOWER P.NO 801329;20;79;12423;11189;1-Jan-1998
80;217110;ROTARY BRUSH RH 0470;1;80;12424;11190;27-Dec-2003
81;217117;SEPARATION ROLLER RH 0613;1;81;12425;11191;27-Dec-2003
82;220006;FEED DEFLECTION PLATES 307870;10;82;12426;11192;18-Aug-1998
83;302008;PVC INSULATED SOLID COPPER CONDUCTOR CABL;829;83;12427;11193;7-Sep-1999
84;303003;STEEL WEARING PLATE INSERT S701;4;84;12428;11194;29-May-1998
85;303017;PTIMAN ROLLER BEARING 6AN30;2;85;12429;11195;29-May-1998
86;303018;MAIN SHAFT BALL BEARING 6AN31;4;86;12430;11196;29-May-1998
87;303019;BUSHING FOR AN 17 62001;4;87;12431;11197;29-May-1998
88;304201;HDPE PIPE END 40 MM;21;88;12432;11198;4-Aug-1998
89;304203;HDPE SLIP ON FLANGES 40 MM;26;89;12433;11199;4-Aug-1998
90;509063;SUPPLY OF INDOOR PANEL COMPRISING OF 1 NO.;1;90;12434;11200;9-Jul-2018
91;513102;DECON DECORATIVE SWEDISH WALL BRACKET 200;13;91;12435;11201;5-Jul-1996
92;514012;KIRLOSKER MAKE 3.7KC4 MOTOR, 3.7 KW /5HP 1500;1;92;12436;11202;6-Aug-1997
93;514102;SHAFT AISI 410 FOR KIRLOSKAR MF20/25 PUMP (C;1;93;12437;11203;1-Apr-1997
94;514103;SHAFT SLEEVE AISI410 FOR KIRLOSKAR MF20/25P;1;94;12438;11204;1-Apr-1997
95;514104;GLAND C.I FOR KIRLOSKAR MF 20/25 PUMP (C-1);1;95;12439;11205;1-Apr-1997
96;514105;LIQUID DEFLECTOR RUBBER FOR KIRLOSKAR MF20;1;96;12440;11206;1-Apr-1997
97;514108;IMPELLER NUT BRONZE FOR KIRLOSKAR MF20/25 P;1;97;12441;11207;1-Apr-1997
98;514110;OIL SEAL DE RUBBER FOR KIRLOSKAR MF20/25 PUM;1;98;12442;11208;1-Apr-1997
99;514111;OIL SEAL DE RUBBER FOR KIRLOSKAR MF20/25 PUM;1;99;12443;11209;1-Apr-1997
100;514112;O RING FOR SHAFT SLEEVE FOR KIRLOSKAR MF20/;1;100;12444;11210;1-Apr-1997
101;514113;O RING FOR DELIVERY CASING & SUCTION COVER K;1;101;12445;11211;1-Apr-1997
102;514115;BALL BEARING/DE/NDE(NBC-540)FOR KIRLOSKAR M;2;102;12446;11212;1-Apr-1997
103;550111;STAINLESS STEEL BAFFLE FOR MUFFLE FURNCE;1;103;12447;11213;16-Jun-1998
104;550388;SPLIT VACCUM RECIVERS.;3;104;12448;11214;7-Oct-1998
105;550804;ASBESTOS MAGNESIUM POWDER;215;105;12449;11215;5-Jul-2001
106;551054;'KAPCO' BRAND 2 CORE 24/0.2 MM  INSULATED TWI;79;106;12450;11216;27-Jul-2007
107;551101;IE GLASS TUBE ROTAMETER MODEL:1114C, WITH A;1;107;12451;11217;29-Jan-2010
108;551218;SUPPLY AND INSTALLATION OF  LAPTOP (2 IN;1;108;12452;11218;30-Jul-2018
109;707076;TAB. AMNURITE 10 MG IN A STRIP OF 10;200;109;12453;11219;27-Jul-2018
110;707086;TAB. CLUSFER IN A STRIP OF10;100;110;12454;11220;31-Jul-2018
111;707087;TAB. NERVILAX IN A STRIP OF 10;200;111;12455;11221;31-Jul-2018
112;707318;TAB.PANSY 40 MG IN A STRIP OF 10;200;112;12456;11222;31-Jul-2018
113;707321;LIQ.SINAREST 60 ML ( PEADIATRIC SYRUP);60;113;12457;11223;27-Jul-2018
114;707322;TAB.SINAREST IN A STRIP OF10;100;114;12458;11224;27-Jul-2018
115;804001;OIL BURNER BLOCK FOR WESMAN SIZE-3A;1;115;12459;11225;
116;903014;FUSES NO 86 AMP EE;30;116;12460;11226;6-Sep-2013
117;903036;DOUBLE WOUND AIR COOLED TRANSFOREMER 18;5;117;12461;11227;10-Apr-1996
118;903037;TRANSFORMER PRIMARY 230V,SECONDARY 130 V, 2;4;118;12462;11228;24-Feb-1993
119;904004;TSNA-516 A SEAL;8;119;12463;11229;19-Apr-2018
120;904005;TSNA-516 B COLLAR.;8;120;12464;11230;19-Apr-2018
121;913017;2 ND  REDUCTION PINION SUITABLE FOR BONFIGLIO;5;121;12465;11231;30-Jun-2017
122;913018;EXTENDED 1st  REDUCTION  PINION SUITABLE FOR;5;122;12466;11232;30-Jun-2017
123;913026;CIRCLIP SUITABLE FOR BONOFIGLIOLI GEAR BOX O;5;123;12467;11233;30-Jun-2017
124;913028;KEY SUITABLE FOR BONOFIGLIOLI GEAR BOX OF S;5;124;12468;11234;30-Jun-2017
125;916005;ERIEZ MAKE ELECTRONIC CONTROLLER FOR DRIV;1;125;12469;11235;9-Nov-2016
126;916006;VARIABLE SPEED DRIVE FOR THE 2.2 KW/3 HP DRU;1;126;12470;11236;9-Nov-2016
127;916009;POWER SUPPLY UNIT;1;127;12471;11237;9-Nov-2016
128;1001033;"WESMAN GEAR PUMP 3/4"" WITHOUT MOTOR, BASE O";1;128;12472;11238;29-Sep-2011
129;1001053;PRESSURE SWITCHES.;2;129;12473;11239;7-Apr-2017
130;1001056;AUTOMATIC TEMPERATURE INDICATING;4;130;12474;11240;8-Feb-2017
131;1001057;AUTOMATIC TEMPERATURE INDICATING;2;131;12475;11241;8-Feb-2017
132;1002010;'ACE' CALDERYS  MAKE WHYTHEAT 'A';550;132;12476;11242;14-Aug-2017
133;1002013;"HOT FACE INSLN. BRICKS 9X4.5X3 """;200;133;12477;11243;4-Feb-1993
134;1002029;PINION WITH SHAFT;1;134;12478;11244;8-Nov-2002
135;1002031;"FIRE BRICKS 9"" X 4.5"" X 3"" X 2"" X 0.5""";525;135;12479;11245;1-Sep-1999
136;1002034;ACC INSULT II;1150;136;12480;11246;27-Sep-1996
137;1002068;'ACE' MAKE MORTOR 80 IN 50 KG BAG.;400;137;12481;11247;25-Jan-2010
138;1002069;'ACE' MAKE FIRE BRICK 70 (70% ALUMINA BRICK) SI;185;138;12482;11248;25-Jan-2010
139;1002071;CFI SIDE ARCH BRICKS INS 140  230X115X75/65MM;1260;139;12483;11249;5-Apr-2006
140;1002073;DILUTION BLOWER;1;140;12484;11250;2-Apr-2001
141;1003013;NEC MAKE IGNITION TRANSFORMER SINGLE;2;141;12485;11251;24-Sep-2008
142;1003032;SEIEMENS A/C OPERATED SPOLE CONTACTOR 3T;3;142;12486;11252;11-May-1995
143;1003034;S.S. BRAIDED CERMAIC FIBRE ROPE 6 mm;35;143;12487;11253;15-Sep-1995
144;1003035;S.S. BRAIDEDCERMAIC FIBRE ROPE 12 mm;25;144;12488;11254;15-Sep-1995
145;1003037;WESMAN NORTH AMERICAN DUEL FUEL BURNER M;1;145;12489;11255;27-Oct-1995
146;1003043;HEATER - 1 KW TUBALAR TYPE;1;146;12490;11256;8-Aug-1995
147;1003048;DIAL DIAPHARAM  100 MM GAUGE;1;147;12491;11257;21-May-1997
148;1003054;WESMAN NORTH AMERICAN BURNER, BURNER MO;2;148;12492;11258;28-Apr-1997
149;1003060;OIL NOZZLE FOR NA BURNER SERIES 6526-54-3;1;149;12493;11259;27-Aug-1997
150;1003064;OIL CONNECTION ASSEMBLY WESAMN NORTH AMER;2;150;12494;11260;28-Apr-1997
151;1005007;WEGMANN CONE 205X320 MM. P.NO:P22WC10030.;1;151;12495;11261;30-Jun-2017
152;1005008;LANDIS AND GYR MAKE ULTRA VIOLET DETECTOR;3;152;12496;11262;24-Jun-2016
153;1005009;SEQUENCE CONTROLLER LANDIS AND GYR MAKE ,;1;153;12497;11263;18-Apr-2008
154;1005017;"HEATER  3"" BSP. 590MM LONG ELECTRIC HEATER, P";4;154;12498;11264;26-Sep-2017
155;1005019;FUEL PUMP HP MODEL - NVBGR, P.NO: P01FD10020;1;155;12499;11265;5-Feb-2016
156;1005022;MECHANICAL SEAL FOR SAFAG PUMP 8210020800;1;156;12500;11266;16-Aug-2000
157;1005029;FLASHER MODULE 12 AF 36 R;1;157;12501;11267;14-Oct-1995
158;1005030;RELAY;2;158;12502;11268;14-Oct-1995
159;1005034;ELECTRONIC HOOTER ( ALU-1) 230 VAC;1;159;12503;11269;14-Oct-1995
160;1005044;BHC MAGNITE COILFOR PN TYPE TIMER VOLTAGE 2;2;160;12504;11270;8-Feb-1995
161;1005049;RELAY ENCLOSED TYPE 2 R RELAY WITH 24 VDC C;9;161;12505;11271;31-May-1995
162;1005051;SPARES PCB CARD MOTOR BOARD COMPLETE;1;162;12506;11272;22-Nov-2000
163;1005054;L&T MAKE COIL SUITABLE FOR ML '0' CONTACTOR ,;5;163;12507;11273;26-Feb-2014
164;1005055;A.C COIL FOR ML 2 CAT NO SS 90545;1;164;12508;11274;20-Sep-1995
165;1005056;A.C COIL FOR ML 4 CAT NO SS 91258;2;165;12509;11275;20-Sep-1995
166;1005060;POWER ADUDGESTED RELAYS TYPE 67;1;166;12510;11276;9-May-1995
167;1005063;PEDAL TYPE LEVEL SWITCH MODEL 135-12 FI SICE;1;167;12511;11277;12-Jul-2004
168;1005064;YOKOGAWA INDICATING CONTROLLER VT 35 - A13;1;168;12512;11278;16-Mar-1996
169;1005065;RIBBON CASSETE FOR YOKOGAWA MAKE HYBRID R;1;169;12513;11279;5-Aug-2003
170;1005066;COLD EATHODE FLUORESENT LAMP 4082 P.139638;1;170;12514;11280;16-Mar-1996
171;1005067;YOKOGAWA POWER DISTRIBUTOR MODEL NO SDB;1;171;12515;11281;16-Mar-1996
172;1005068;MODULATING MOTOR M 941 A CODE I-86141122 00;1;172;12516;11282;14-Jul-1995
173;1005073;PREESURE SWITCH IPS 100 CODE 0-8441121300;1;173;12517;11283;14-Jul-1995
174;1005077;O RING 33078;1;174;12518;11284;26-Jun-1995
175;1005078;SPRING SET FOR PNEMETIC ACTUATOR;1;175;12519;11285;26-Jun-1995
176;1005081;ELECTRODE ASSEMBLY W 0314 613930;4;176;12520;11286;18-Nov-2002
177;1005082;I PIN SOCKETS SUITABLE FOR THE P.NO 31-96000 -2;5;177;12521;11287;31-May-1995
178;1005088;PRESSURE CONTROL VALVE (DOWN STREAM VAL;1;178;12522;11288;9-Oct-2015
179;1005094;S.S WIRE BRAIDED METALIC FLEXIBLE HOSE FOR H;13;179;12523;11289;5-Feb-2003
180;1005102;BIMETAL OVER LOAD RELAY L&T RANGE  1.4 A TO 2;2;180;12524;11290;18-Nov-1995
181;1005103;BIMETAL OVERLOAD RELAY L-T RANGE 2A -3-3 AMP;1;181;12525;11291;18-Nov-1995
182;1005104;BIMETAL OVER LOAD RELAY L & t RANGE 66 A TO 1;2;182;12526;11292;18-Nov-1995
183;1005105;ISO TYPE BIPI TECH SIMPLEX SPROCKET WHEEL 1;4;183;12527;11293;13-Jan-1996
184;1005109;DIGITAL TEMPERATURE INDICATOR WITH ON/OFF C;2;184;12528;11294;6-Apr-1996
185;1005114;ELECTRIC 2 WIRE TR.MITTER,FISHER ROSE MOUN;1;185;12529;11295;12-Sep-1996
186;1005134;SIEMMENS  MAKE LAMP HOLDER WITH BULIT  IN RE;5;186;12530;11296;14-Jun-1996
187;1005141;"NON RETURN VALVE ASSY 1 1/2 "" BSP - TC 600 031";3;187;12531;11297;19-Apr-2000
188;1005142;"SAFTEY VALVE ASSEMBLY 0.75"" BSP 043456A/972";1;188;12532;11298;19-Apr-2000
189;1005143;"SAFETY VALVE ASSY. 1/2"" BSP 043457 A";4;189;12533;11299;19-Apr-2000
190;1005145;"DRAIN VALVE ASSEMBLY 0.25"" BSP 0515411";1;190;12534;11300;16-Nov-1996
191;1005146;AIR FILTER ASSEMBLY 0213970;2;191;12535;11301;19-Apr-2000
192;1005147;"SAFETY VALVE ASSEMBLY 0.25"" BSP 0413181";1;192;12536;11302;16-Nov-1996
193;1005156;DIFFERENTIAL PRESSURE SWITCH MODEL GM-306;1;193;12537;11303;23-Feb-2001
194;1005159;L & T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN;3;194;12538;11304;26-Sep-2017
195;1005161;L&T MN-2 BIMETAL O/L 14 -23A SS94134;1;195;12539;11305;17-Jan-1997
196;1005164;L&T MN12L TYPE BIMETAL OVERLOAD RELAYUNIT R;1;196;12540;11306;30-May-1997
197;1005173;BURNER ROD ASSEMBLY(P.NO: PBR6200003);1;197;12541;11307;27-Sep-2017
198;1005182;AVCON MAKE PNEUMATIC ROTARY ACTUATORS.;1;198;12542;11308;8-Jun-2009
199;1005183;SOLENOID VALVES TAC NO SV 101;2;199;12543;11309;4-Jun-2008
200;1005184;SOLENIOD VALVES TAC NO 702;1;200;12544;11310;4-Jun-2008
201;1005185;SOLENIOD VALVES TAC NO SV 104;1;201;12545;11311;4-Jun-2008
202;1005189;"NPT 1/4""  (M) TO 1/2"" NPT ( M ) SS";27;202;12546;11312;25-Jun-2002
203;1005190;"PVC TUBE  1/4"" OD";30;203;12547;11313;19-Jul-2002
204;1005193;"NPT 1/4"" (M) UNION (M) WITH NUT";15;204;12548;11314;19-Jul-2002
205;1005195;SIEMENS MAKE BA9SFILAMENT LAMP,24V/2W;50;205;12549;11315;25-Aug-2012
206;1005196;SIEMENS MAKE BA9S FILAMENT LAMP, 130V/2.5 W, T;90;206;12550;11316;25-Aug-2012
207;1005198;PRESSURE SWITCH MODEL NO GM -021- 02B 5D -0;1;207;12551;11317;17-Jul-1998
208;1005199;PRESSURE SWITCH MODEL NO GM - 201 -01 A7K-0;2;208;12552;11318;17-Jul-1998
209;1005200;PRESSURE SWITCH MODEL NO GM -201-02-A7K-0;1;209;12553;11319;17-Jul-1998
210;1005222;O/E/N/ RELAY P.NO IR -3-240;13;210;12554;11320;21-Jan-1999
211;1005223;II PIN DIN RAIL MOUNTING BASE;7;211;12555;11321;21-Jan-1999
212;1005232;AIRMATIC MAKE STANDARD SERIES AIRPRESSURE;3;212;12556;11322;11-Apr-2015
213;1005233;AIRMATIC MAKE AIR PRESSURE REGULATOR SIZE 1;3;213;12557;11323;13-Jun-2003
214;1005234;AIRMATIC AIR PRESSURE REGULATOR WITH FILTE;1;214;12558;11324;26-Feb-2000
215;1005240;PRESSURE GUAGE;2;215;12559;11325;26-Feb-2000
216;1005241;"SAFETY VALVE ASSEMBLY 3/8"" BSP DRG.NO 02240";4;216;12560;11326;19-Apr-2000
217;1005242;ELGI/CEC MAKE TOP BLOCK FOR AIR COMPRESSOR;1;217;12561;11327;9-Jul-2016
218;1005250;VGPISLY 10 SPRING PLATE FOR VIBRATING FEEDE;1;218;12562;11328;22-Nov-2000
219;1005253;"SAFETY VALVE ASSY. 3/4"" DRG NO: 022400779";3;219;12563;11329;13-Sep-2000
220;1005258;BURNER HOUSING NO M 806/00;4;220;12564;11330;21-Mar-2003
221;1005263;FILTER BASKET 25NB 15 LIT CAPACITY;1;221;12565;11331;21-Jul-2001
222;1005265;TEMPERATURE ELEMENT PROBE TYPE - K;2;222;12566;11332;29-Nov-2016
223;1005266;TEMPERATURE ELEMENT PROBE TYPE- K TYPE;5;223;12567;11333;29-Nov-2016
224;1005270;"VALVE SAFETY 3/4"" BSP P NO. 972210200";1;224;12568;11334;17-Jan-2002
225;1005276;TEMPERATURE ELEMENT PROBE;2;225;12569;11335;29-Nov-2016
226;1005280;"NPT 1/4"" (M) ELBOW WITH NUT";10;226;12570;11336;19-Nov-2002
227;1005288;"COPPER TUBE 1/4"" DO SOFTENED DOUBLE WOUND";25;227;12571;11337;19-Jul-2002
228;1005296;22.5 MM ILLUMINATED PUSH BUTTON IN GREEN;40;228;12572;11338;28-Nov-2014
229;1005297;22.5 MM ILLUMINATED PUSH BUTTON IN RED;30;229;12573;11339;28-Nov-2014
230;1005370;TEMPERATURE ELEMENT PROBE TYPE: RTD, PT-1;5;230;12574;11340;25-Jan-2007
231;1005377;PCB MOTHER BOARD COMPLETE WITH FIRING;1;231;12575;11341;7-Nov-2014
232;1005385;YOKOGAWA MAKE CONTROLLER;2;232;12576;11342;13-Jan-2017
233;1005391;L&T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN;2;233;12577;11343;30-Sep-2014
234;1005392;L&T MAKE DIRECTLY OPERATED, DIRECT MOUNTIN;1;234;12578;11344;30-Sep-2014
235;1005395;"AIROSPRAY 7/8"" NOZZLE 10 GPH , SPRAY ANGL;E: 7";1;235;12579;11345;17-Apr-2018
236;1006002;KAKATI/PPI/PREMIER MAKE WATER RING TYPE;1;236;12580;11346;8-Jan-2018
237;1006011;NEEDLE VALVE;2;237;12581;11347;16-Aug-2000
238;1006014;DIFFURE PLATE ASSEMBLY 150 MM(P.NO:PBR57300;5;238;12582;11348;22-Jun-2017
239;1006018;HEATER TANK WITH THERMO COUPLE;1;239;12583;11349;20-Sep-2000
240;1006028;VENTURY C.I. P.NO 7005622730;5;240;12584;11350;14-Jun-2001
241;1006041;WEAR PLATE IN  HOT PRESS MOULDED SINTEX TY;3;241;12585;11351;4-Aug-2017
242;1006044;NOZZLES FOR  22/2 TPH FBD AS PER DRAWING  M;11;242;12586;11352;12-Dec-2014
243;1006048;AJP EXPANSION BELLOWS:  EXPANSION BELLOWS (;2;243;12587;11353;24-Mar-2006
244;1006052;OIL SEAL ASSEMBLY FOR THE SUNTEC MAKE E6 FU;1;244;12588;11354;1-Mar-2006
245;1006055;SPARE PLUG-IN TYPE POWER SUPPLY UNIT MPSD (;1;245;12589;11355;21-Jun-2012
246;1007001;APM GRADE HEATING ELEMENT THICKNESS 4.7 M;3;246;12590;11356;25-Oct-2014
247;1007003;TEMPERATURE CONTROLLER , NIPPON MAKE, MOD;1;247;12591;11357;12-May-2014
248;1007004;CERMIC TUBE 20 MM OD AND 1100 MM LENGTH.;5;248;12592;11358;12-May-2014
249;1102002;SPARE HEATING ELEMENT 85 KW;20;249;12593;11359;16-Mar-1992
250;1102018;HEATING ELEMENT;5;250;12594;11360;13-Nov-2003
251;1102037;AUTOMATIC TEMPERATURE CONTROL 0-1200 C PA;2;251;12595;11361;17-Feb-1995
252;1111001;POLY PROPLENE FILTER PRESS HEAD PLATE 915x;1;252;12596;11362;30-Oct-1993
253;1111002;POLY PROPLENE FILTER PRESS RECESSED TAIL P;1;253;12597;11363;30-Oct-1993
254;1111004;POLY PROPLENE RECESSED PRESSURE PLATE;1;254;12598;11364;11-Jul-1996
255;1111005;POLY PROPLENE RECESSED WASH PLATE;2;255;12599;11365;11-Jul-1996
256;1111006;POLY PROPLENE HANDLE;12;256;12600;11366;30-Oct-1993
257;1201107;SS WIRE SCRATCH BRUSH WITH CURVED WOODE;7;257;12601;11367;21-Jan-2017
258;1201118;COIL SPRING - 12 MM;5;258;12602;11368;19-Nov-1993
259;1201203;M.S 100% COTTON LONG CLOTH  PEROXIDE;200;259;12603;11369;28-Nov-2017
260;1202001;SPARE  DRUCK CARRIER BRACKET FOR RIGHT HA;4;260;12604;11370;1-Apr-1984
261;1202011;H.T.S. HOPPER;1;261;12605;11371;
262;1202031;OIL SEAL 60-19-10;2;262;12606;11372;
263;1202032;RUBBER SUFFOR 80102-100-3;2;263;12607;11373;
264;1202043;SPRING;4;264;12608;11374;10-Dec-1997
265;1202044;SLIDING METTALIC BUSH;1;265;12609;11375;10-Dec-1997
266;1302012;M.S CLAMPS FOR CUFF BENDS FOR HDPE PIPES;33;266;12610;11376;15-Dec-2012
